country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,0-9,550,511,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,10-19,153,176,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,20-29,108,156,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,30-39,86,116,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,40-49,81,117,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,50-59,67,84,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,60-69,69,95,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,70-79,88,97,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,80-89,115,106,49.45000076293945,47.34000015258789
Acre,Acre,10,"Cropland, rainfed",1301.31,1329.83,90-99,598,472,49.45000076293945,47.34000015258789
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,0-9,1820,2652,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,10-19,525,791,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,20-29,347,641,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,30-39,252,547,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,40-49,257,515,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,50-59,252,507,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,60-69,221,502,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,70-79,260,481,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,80-89,354,608,46.70000076293945,53.529998779296875
Acre,Acre,11,"Cropland, rainfed",4301.36,7877.09,90-99,1642,2776,46.70000076293945,53.529998779296875
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,0-9,559813,601814,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,10-19,120749,134522,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,20-29,67962,90348,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,30-39,50959,71695,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,40-49,42573,62979,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,50-59,38187,54303,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,60-69,35913,49536,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,70-79,37393,47696,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,80-89,48527,52813,34.43000030517578,36.470001220703125
Acre,Acre,30,Mosaic cropland / natural vegetation,1114851.06,1285225.98,90-99,224294,211916,34.43000030517578,36.470001220703125
Acre,Acre,40,Mosaic natural vegetation / cropland,117082.17,366030.07,0-9,49296,81769,49.689998626708984,63.63999938964844
Acre,Acre,40,Mosaic natural vegetation / cropland,117082.17,366030.07,10-19,11847,29117,49.689998626708984,63.63999938964844
Acre,Acre,40,Mosaic natural vegetation / cropland,117082.17,366030.07,20-29,7492,24259,49.689998626708984,63.63999938964844
Acre,Acre,40,Mosaic natural vegetation / cropland,117082.17,366030.07,30-39,6306,21668,49.689998626708984,63.63999938964844
Acre,Acre,40,Mosaic natural vegetation / cropland,117082.17,366030.07,40-49,5522,21117,49.689998626708984,63.63999938964844
Acre,Acre,40,Mosaic natural vegetation / cropland,117082.17,366030.07,50-59,5341,20068,49.689998626708984,63.63999938964844
