country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,0-9,14302,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,10-19,2712,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,20-29,1415,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,30-39,849,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,40-49,536,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,50-59,294,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,60-69,189,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,70-79,149,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,80-89,122,12.359999656677246
Ethiopia,Addis Abeba,10,"Cropland, rainfed",17587.62,17815.63,90-99,116,12.359999656677246
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,0-9,6465,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,10-19,574,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,20-29,256,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,30-39,151,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,40-49,87,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,50-59,37,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,60-69,29,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,70-79,17,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,80-89,11,7.769999980926514
Ethiopia,Addis Abeba,11,"Cropland, rainfed",6094.01,6170.29,90-99,11,7.769999980926514
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,0-9,48,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,10-19,6,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,20-29,3,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,30-39,1,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,40-49,0,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,50-59,0,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,60-69,0,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,70-79,0,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,80-89,0,7.110000133514404
Ethiopia,Addis Abeba,20,"Cropland, irrigated or post-flooding",37.82,37.82,90-99,0,7.110000133514404
Ethiopia,Addis Abeba,30,Mosaic cropland / natural vegetation,1312.27,1321.03,0-9,997,20.030000686645508
Ethiopia,Addis Abeba,30,Mosaic cropland / natural vegetation,1312.27,1321.03,10-19,327,20.030000686645508
Ethiopia,Addis Abeba,30,Mosaic cropland / natural vegetation,1312.27,1321.03,20-29,180,20.030000686645508
Ethiopia,Addis Abeba,30,Mosaic cropland / natural vegetation,1312.27,1321.03,30-39,127,20.030000686645508
Ethiopia,Addis Abeba,30,Mosaic cropland / natural vegetation,1312.27,1321.03,40-49,77,20.030000686645508
Ethiopia,Addis Abeba,30,Mosaic cropland / natural vegetation,1312.27,1321.03,50-59,65,20.030000686645508
