country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,0-9,10852,17240,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,10-19,5236,20073,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,20-29,3379,3159,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,30-39,2694,3,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,40-49,2197,0,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,50-59,2105,0,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,60-69,2175,0,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,70-79,2558,0,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,80-89,3431,0,39.04999923706055,10.989999771118164
Gambia,Lower River,10,"Cropland, rainfed",32022.63,33977.01,90-99,3692,0,39.04999923706055,10.989999771118164
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,0-9,17,24,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,10-19,2,23,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,20-29,1,16,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,30-39,6,0,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,40-49,2,0,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,50-59,13,0,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,60-69,5,0,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,70-79,1,0,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,80-89,0,0,32.880001068115234,13.079999923706055
Gambia,Lower River,11,"Cropland, rainfed",27.0,36.0,90-99,0,0,32.880001068115234,13.079999923706055
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,0-9,1642,2192,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,10-19,464,1011,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,20-29,267,542,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,30-39,202,0,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,40-49,167,0,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,50-59,161,0,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,60-69,144,0,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,70-79,136,0,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,80-89,162,0,29.709999084472656,10.020000457763672
Gambia,Lower River,20,"Cropland, irrigated or post-flooding",2693.02,2747.09,90-99,335,0,29.709999084472656,10.020000457763672
Gambia,Lower River,30,Mosaic cropland / natural vegetation,25120.2,27608.52,0-9,7858,11266,42.290000915527344,11.600000381469727
Gambia,Lower River,30,Mosaic cropland / natural vegetation,25120.2,27608.52,10-19,3660,20737,42.290000915527344,11.600000381469727
Gambia,Lower River,30,Mosaic cropland / natural vegetation,25120.2,27608.52,20-29,2394,1702,42.290000915527344,11.600000381469727
