country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,0-9,285,459,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,10-19,140,206,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,20-29,124,189,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,30-39,74,161,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,40-49,67,166,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,50-59,54,118,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,60-69,44,123,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,70-79,31,95,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,80-89,29,79,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,10.0,"Cropland, rainfed",565.26,1083.5,90-99,19,51,27.840410232543945,34.224178314208984
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,0-9,2316,5731,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,10-19,1738,1903,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,20-29,1390,1177,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,30-39,1177,846,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,40-49,1088,656,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,50-59,877,482,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,60-69,762,419,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,70-79,674,335,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,80-89,628,255,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,11.0,"Cropland, rainfed",7673.24,8240.92,90-99,533,213,36.595054626464844,21.34096336364746
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,0-9,2031,1971,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,10-19,1490,1384,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,20-29,1255,1378,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,30-39,1194,1407,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,40-49,1189,1440,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,50-59,1182,1581,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,60-69,1203,1456,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,70-79,1187,1455,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,80-89,1379,1418,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,30.0,Mosaic cropland / natural vegetation,9632.6,10340.07,90-99,1799,1374,48.98731994628906,48.77825927734375
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,0-9,157975,300273,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,10-19,139729,182653,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,20-29,122138,145279,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,30-39,113164,127531,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,40-49,106585,115241,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,50-59,99975,102111,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,60-69,93430,88310,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,70-79,87491,73551,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,80-89,84757,58312,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,40.0,Mosaic natural vegetation / cropland,965218.46,1099254.76,90-99,68347,36965,42.8194465637207,33.84603500366211
Nicaragua,Atlántico Sur,50.0,"Tree cover, broadleaved, evergreen",536800.96,1436305.57,0-9,75412,152004,52.77274703979492,61.58033752441406
Nicaragua,Atlántico Sur,50.0,"Tree cover, broadleaved, evergreen",536800.96,1436305.57,10-19,62074,106242,52.77274703979492,61.58033752441406
Nicaragua,Atlántico Sur,50.0,"Tree cover, broadleaved, evergreen",536800.96,1436305.57,20-29,56239,104798,52.77274703979492,61.58033752441406
Nicaragua,Atlántico Sur,50.0,"Tree cover, broadleaved, evergreen",536800.96,1436305.57,30-39,55227,109909,52.77274703979492,61.58033752441406
