country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,0-9,28432,25062,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,10-19,18260,44661,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,20-29,16454,64179,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,30-39,17022,62140,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,40-49,18245,59090,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,50-59,20438,34248,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,60-69,23178,6433,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,70-79,28510,1798,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,80-89,41297,468,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,10,"Cropland, rainfed",233844.16,247513.27,90-99,70428,60,60.61000061035156,32.459999084472656
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,0-9,18833,37341,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,10-19,10767,45348,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,20-29,11090,54382,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,30-39,12458,61302,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,40-49,15176,75051,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,50-59,19442,100425,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,60-69,25904,61214,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,70-79,37501,34096,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,80-89,71799,15826,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,11,"Cropland, rainfed",374330.17,413558.19,90-99,219771,3866,76.56999969482422,43.90999984741211
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,0-9,26666,39025,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,10-19,18395,60231,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,20-29,17727,81401,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,30-39,19819,82369,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,40-49,22007,88823,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,50-59,26203,80580,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,60-69,32619,28377,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,70-79,43499,10674,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,80-89,72337,3282,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,30,Mosaic cropland / natural vegetation,346713.12,371241.45,90-99,165315,593,69.69000244140625,36.52000045776367
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,0-9,25245,18345,65.04000091552734,36.2400016784668
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,10-19,14679,37812,65.04000091552734,36.2400016784668
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,20-29,13622,58871,65.04000091552734,36.2400016784668
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,30-39,14559,58262,65.04000091552734,36.2400016784668
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,40-49,15805,61171,65.04000091552734,36.2400016784668
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,50-59,18389,48769,65.04000091552734,36.2400016784668
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,60-69,22157,13807,65.04000091552734,36.2400016784668
Sierra Leone,Eastern,40,Mosaic natural vegetation / cropland,218682.79,231451.65,70-79,28468,4637,65.04000091552734,36.2400016784668
