country,full_area_ha
Algeria,32677200
Angola,116985600
Argentina,312678000
Belize,2329200
Benin,11091600
Bolivia,101862000
Botswana,60044400
Brazil,827028000
Burkina Faso,26344800
Burundi,2325600
Cameroon,43635600
Central African Republic,59284800
Chad,64076400
Chile,85449600
Colombia,109418400
Costa Rica,5245200
Cuba,12682800
Cyprus,738000
Democratic Republic of the Congo,219481200
Djibouti,784800
Dominican Republic,5148000
Ecuador,24602400
Egypt,14745600
El Salvador,2066400
Equatorial Guinea,2419200
Eritrea,9399600
Ethiopia,104533200
France,8168400
Gabon,25167600
Gambia,1335600
Ghana,22831200
Greece,2894400
Guatemala,10836000
Guinea,22881600
Guinea Bissau,3520800
Guyana,20181600
Haiti,3283200
Honduras,11275200
Iran,35935200
Iraq,17719200
Israel,2016000
Italy,1267200
Ivory Coast,31370400
Jamaica,1245600
Jordan,1306800
Kenya,55476000
Kuwait,252000
Lebanon,1177200
Lesotho,2977200
Liberia,8906400
Libya,11793600
Madagascar,60778800
Malawi,9705600
Mali,61002000
Mauritania,24357600
Mexico,153306000
Morocco,32216400
Mozambique,81385200
Namibia,71438400
Nicaragua,11970000
Niger,46285200
Nigeria,86500800
Northern Cyprus,486000
Panama,7779600
Paraguay,41252400
Peru,118119600
Portugal,738000
Qatar,79200
Republic of Congo,32068800
Rwanda,2203200
Saudi Arabia,19947600
Senegal,18961200
Sierra Leone,7113600
Somalia,45079200
Somaliland,15174000
South Africa,133221600
South Sudan,59709600
Spain,5688000
Sudan,93988800
Suriname,13849200
Swaziland,1922400
Syria,10555200
The Bahamas,1263600
Togo,5688000
Trinidad and Tobago,1137600
Tunisia,10382400
Turkey,16657200
Uganda,20340000
United Kingdom,3070800
United Republic of Tanzania,84506400
United States of America,296841600
Uruguay,20030400
Venezuela,87238800
Western Sahara,3600
Yemen,12769200
Zambia,72396000
Zimbabwe,37407600
